k,minutes
2,0.8087666666666666
3,1.0309833333333334
4,1.2396833333333332
5,1.4377666666666666
6,1.5842166666666666
7,1.7293
8,1.9191333333333334
9,2.0803333333333334
10,2.1936666666666667
