QIs,k,maxChanges,gen. intensity,granularity,n.u. entropy,record-level sq. err.,att.-level sq. err.
9,2,9,0.9450884974225602,0.9469604570734392,0.8505742270580678,0.6397351840598553,0.367099673820907
9,3,9,0.9232889311299232,0.9232515093009538,0.7977928942209105,0.6294568985100953,0.3620735350081876
9,4,9,0.909489067676522,0.9080139908359648,0.766357974003612,0.6225185823880476,0.3587276372798244
9,5,9,0.8986912033046242,0.8959920287039389,0.7423982656219851,0.6172878900159869,0.3568564098023611
9,6,9,0.8903172866520788,0.8863600031905625,0.7243832339605625,0.6127652270318086,0.3547518381200454
9,7,9,0.8833815912590529,0.878295588884355,0.709382965220623,0.6093539349924266,0.3536721517273782
9,8,9,0.877151959664724,0.8708914791813593,0.6964851416395557,0.6059894188080777,0.3525527617269315
9,9,9,0.8714334568637996,0.8648857355344515,0.6847948204719698,0.6023795626993309,0.3508870845607288
9,10,9,0.8658607715865192,0.858397655604039,0.6739262514262793,0.5994506047275279,0.3500426646185698
