QIs,k,metric,gen. intensity,granularity,n.u. entropy,record-level sq. err.,att.-level sq. err.,time
9,2,Loss,0.9516358577263027,0.9733303766434183,0.8835788019051263,0.9258059860266298,0.9855673349690025,25954
9,2,Non-Uniform Entropy,0.9053131607836203,0.9214444269702059,0.8935361670166696,0.8424832545702953,0.9907691779798291,1436655
9,3,Loss,0.9230764980217936,0.9561926534939184,0.8241562863367665,0.8936246048130857,0.9765568050372742,90349
9,3,Non-Uniform Entropy,0.8438450883746289,0.8702119290380887,0.832666003718862,0.770586444053112,0.9845207235149317,4242371
9,4,Loss,0.9040198360949635,0.9442192300695571,0.7867689952655805,0.8724639094156559,0.97070022873834,152060
9,4,Non-Uniform Entropy,0.8017836399492122,0.8354180329382599,0.791712123925945,0.7258201603825056,0.9808654468469695,4119386
9,5,Loss,0.8903556596846162,0.9352779245344508,0.7611995727478751,0.856999692269773,0.9663500500047238,114968
9,5,Non-Uniform Entropy,0.7711079307541739,0.8094026280507909,0.7624426298960251,0.6938381252944988,0.9781527477827837,2857940
9,6,Loss,0.8787240260617352,0.9276042015311278,0.7407045981492549,0.8449934221875602,0.963357311899934,102435
9,6,Non-Uniform Entropy,0.7461970789833658,0.7881990771950669,0.7390787579297026,0.6688243755957838,0.9762494030691861,2592077
9,7,Loss,0.8692225562210967,0.9214119697847084,0.7243055899110593,0.8357228684279951,0.960958020966419,90687
9,7,Non-Uniform Entropy,0.7276159356757457,0.7730440325454273,0.7211822763654284,0.6503896180554178,0.9736413466804312,2301750
9,8,Loss,0.8613784944018347,0.9162871163533696,0.710361569847255,0.825928283367111,0.9575102305368369,90816
9,8,Non-Uniform Entropy,0.7100054765992034,0.7574604391321171,0.705665082684868,0.6318141798592504,0.9719185083587142,2196931
9,9,Loss,0.8530153221984,0.9101097677587056,0.697320602598454,0.8184387763673371,0.956753269351649,96866
9,9,Non-Uniform Entropy,0.6952023885831324,0.745435843730542,0.691440612834954,0.6176844019061389,0.9713186651031399,2085227
9,10,Loss,0.8457594422218784,0.9055759463676831,0.6875702138239015,0.8116389704769857,0.9550509121811538,89613
9,10,Non-Uniform Entropy,0.6842973867043889,0.7351860589008338,0.6794105885727356,0.6061982210472452,0.9683711715989449,1718919
