avg(minutes),exp,method
10.5940296296296,exp1,arx
15.5309462962963,exp1,prioprivacy
43.613437037037,exp2,arx
43.7553685185185,exp2,prioprivacy
22.9235925925926,exp3,arx
22.4280148148148,exp3,prioprivacy
18.5251648148148,exp4,arx
21.2107722222222,exp4,prioprivacy
