method,experiment,avg_time
arx_nue,1,6.1898481481481475
arx_nue,2,32.849585185185184
arx_nue,3,20.785774074074073
arx_nue,4,16.61237962962963
prioprivacy,1,1.5582055555555556
prioprivacy,2,1.9731629629629626
prioprivacy,3,1.2922296296296298
prioprivacy,4,1.456712962962963
prioprivacy_one_thread,1,1.3484740740740742
prioprivacy_one_thread,2,4.469100000000001
prioprivacy_one_thread,3,2.230977777777778
prioprivacy_one_thread,4,2.196274074074074
