k,gen. intensity,granularity,n.u. entropy,discernibility,avg. class size,record-level sp. err, attribute-level sq. err.,experiment,method
9,0.7415640725268734,0.7636414772769222,0.7375717724813409,0.9998848389996688,0.999948191979096,0.6202804357479008,0.9721244349102276,exp2,prioprivacy
10,0.7265783288759218,0.7503991374101103,0.725125953302874,0.9998633357714726,0.999942731578366,0.6055193591278791,0.9712126953257258,exp2,prioprivacy
2,0.9214758820885736,0.9162808662846113,0.8843650747127622,0.999989668336473,0.9999844310740132,0.8290394560205158,0.9869138714712264,exp3,prioprivacy
3,0.8901254214893894,0.8824845016557099,0.8385103797081932,0.9999756054890758,0.9999743050312185,0.7713055959909335,0.9802243129338217,exp3,prioprivacy
4,0.8687863315872069,0.8591297511285344,0.8086112212558996,0.9999590932964629,0.9999653717435832,0.7338778703998325,0.9759584872649071,exp3,prioprivacy
5,0.8507166240572513,0.8394696810392192,0.7845154445241931,0.9999397953584385,0.9999576504280824,0.7030307193391854,0.9729461367818429,exp3,prioprivacy
6,0.833505244519103,0.8210816368568621,0.7639921166921775,0.9999174610238764,0.9999490978256326,0.6780201174687162,0.9703768126169419,exp3,prioprivacy
7,0.819388266324809,0.8059583221580625,0.7472392684689747,0.9998929170017541,0.9999395293624083,0.6575898356822373,0.9685195881176186,exp3,prioprivacy
8,0.8087745925090929,0.7942701090468254,0.7342157794127646,0.9998684631260895,0.9999323813976208,0.6412020642859431,0.9668966518441461,exp3,prioprivacy
9,0.798057771981915,0.7822615927750656,0.7209227451350348,0.9998383410170619,0.9999251059066272,0.6251504800340373,0.9651010897019082,exp3,prioprivacy
10,0.7875423331294957,0.7713070632369703,0.7097959162268221,0.9998104219995122,0.9999192071448352,0.6108889490596701,0.9638855121706231,exp3,prioprivacy
2,0.9227044330983062,0.9159275662091113,0.8788255294027247,0.9999888020510016,0.9999831653172621,0.8276355703929933,0.9839484347273338,exp4,prioprivacy
3,0.8924167520082911,0.8829740324364885,0.8334351121117771,0.9999739300841796,0.9999723799123436,0.7715456100671276,0.976943675787508,exp4,prioprivacy
4,0.8718813468995817,0.8602942335669601,0.8036199906664484,0.9999559931377966,0.9999632312370795,0.7366210354984177,0.9730298057733574,exp4,prioprivacy
5,0.8558512427950794,0.8429765373490862,0.7807805971882327,0.9999360465850157,0.9999547307365496,0.7115101567998916,0.9701993435100119,exp4,prioprivacy
6,0.8423267442231702,0.828565068632817,0.7604027764616174,0.9999134198241396,0.9999459221439215,0.6942457243770304,0.967725639095204,exp4,prioprivacy
7,0.8310978739498069,0.8169069473413392,0.7440297891246029,0.9998851907907232,0.9999363574174976,0.6802992452213755,0.9658917141286335,exp4,prioprivacy
8,0.8204086820060562,0.8052425298989756,0.7298664409100171,0.9998553501145391,0.9999289340240367,0.6638614100733606,0.9639214533758734,exp4,prioprivacy
9,0.8085646152750456,0.7922954113032505,0.7152918446698464,0.9998209075716255,0.9999205537641274,0.6466890672706166,0.9626253741119302,exp4,prioprivacy
10,0.798350634966244,0.780959005991231,0.7020932039042276,0.9997790774165708,0.9999137207861594,0.6314491533497346,0.9607503568690104,exp4,prioprivacy
