QIs,k,metric,gen. intensity,granularity,n.u. entropy,record-level sq. err.,att.-level sq. err.,time
9,2,Loss,0.9519004781586838,0.9675634639120321,0.877008751890249,0.9120409829356128,0.9862067108140595,13495
9,2,Non-Uniform Entropy,0.9159894593884383,0.9209050013732512,0.8861053934005965,0.8316662555625799,0.9901845143082766,1199067
9,3,Loss,0.925082947147134,0.9486074252975772,0.8159837345202788,0.8734638496646729,0.9781061418765464,26419
9,3,Non-Uniform Entropy,0.866126005987421,0.87225998731878,0.8223811146213065,0.754751468473046,0.9828918084418038,1598826
9,4,Loss,0.9071688806371518,0.9354612248494713,0.7795689950597331,0.849786186135687,0.9735811687621618,27189
9,4,Non-Uniform Entropy,0.8327767708694038,0.8393879523423102,0.7823453915156733,0.7071891069980236,0.978778366916048,1550443
9,5,Loss,0.8946319504306373,0.9263893168241526,0.753804903269077,0.8332119328185381,0.969842503572692,29401
9,5,Non-Uniform Entropy,0.8091727510947057,0.8157115049744506,0.7527321352023327,0.6735583038813375,0.9742798195488812,1470985
9,6,Loss,0.8840056902602486,0.9180823604427153,0.7334272340525807,0.8188267661027151,0.9666234877390724,33186
9,6,Non-Uniform Entropy,0.7902671254239451,0.7971603396604721,0.7308147506659273,0.649122120852478,0.9714390893469973,1391199
9,7,Loss,0.8754119728773261,0.9112243040827356,0.7170189895320642,0.8076893467115231,0.9639332741605466,34630
9,7,Non-Uniform Entropy,0.7751392480604733,0.7819151367374122,0.7124939615213928,0.6284597011514521,0.968950239551827,1406705
9,8,Loss,0.8676354475953302,0.9052984433379727,0.7025863124046641,0.7978390839754993,0.9612286745228961,41605
9,8,Non-Uniform Entropy,0.761603391070933,0.7686803157859985,0.6970100510762344,0.6120881159661252,0.9680586801263448,1419166
9,9,Loss,0.8607648328654888,0.8998007834466816,0.6908864331472997,0.7876262612829232,0.959538459651472,41778
9,9,Non-Uniform Entropy,0.7494501911897975,0.7571378055497942,0.6840942449899211,0.5995749360844718,0.9662062646615268,1203257
9,10,Loss,0.8544400361504662,0.894635930500798,0.6803352815392809,0.7802748076582606,0.9587109773614256,38658
9,10,Non-Uniform Entropy,0.7384512521274011,0.7458304161675089,0.6710712654745317,0.5866525653558707,0.9645545015439497,1139092
